station_id,station_name_jp,station_name_en
100201,東京,Tokyo
100202,品川,Shinagawa
100203,新横浜,Shinyokohama
100204,小田原,Odawara
100205,熱海,Atami
100206,三島,Mishima
100207,新富士,Shinfuji
100208,静岡,Shizuoka
100209,掛川,Kakegawa
100210,浜松,Hamamatsu
100211,豊橋,Toyohashi
100212,三河安城,Mikawaanjo
100213,名古屋,Nagoya
100214,岐阜羽島,Gifu-Hashima
100215,米原,Maibara
100216,京都,Kyoto
100217,新大阪,Shin-Osaka
100301,新大阪,Shin-Osaka
100302,新神戸,Shinkobe
100303,西明石,Nishiakashi
100304,姫路,Himeji
100305,相生,Aioi
100306,岡山,Okayama
100307,新倉敷,Shinkurashiki
100308,福山,Fukuyama
100309,新尾道,Shin-Onomichi
100310,三原,Mihara
100311,東広島,Higashihiroshima
100312,広島,Hiroshima
100313,新岩国,Shin-Iwakuni
100314,徳山,Tokuyama
100315,新山口,Shinyamaguchi
100316,厚狭,Asa
100317,新下関,Shinshimonoseki
100318,小倉,Kokura
100319,博多,Hakata
100401,東京,Tokyo
100402,上野,Ueno
100403,大宮,Omiya
100404,小山,Oyama
100405,宇都宮,Utsunomiya
100406,那須塩原,Nasushiobara
100407,新白河,Shinshirakawa
100408,郡山,Koriyama
100409,福島,Fukushima
100410,白石蔵王,Shiroishi-Zao
100411,仙台,Sendai
100412,古川,Furukawa
100413,くりこま高原,Kurikoma-Kogen
100414,一ノ関,Ichinoseki
100415,水沢江刺,Mizusawa Esashi
100416,北上,Kitakami
100417,新花巻,Shinhanamaki
100418,盛岡,Morioka
100419,いわて沼宮内,Iwatenumakunai
100420,二戸,Ninohe
100421,八戸,Hachinohe
100422,七戸十和田,Shichinohe-Towada
100423,新青森,Shin-Aomori
100501,東京,Tokyo
100502,上野,Ueno
100503,大宮,Omiya
100504,熊谷,Kumagaya
100505,本庄早稲田,Honjowaseda
100506,高崎,Takasaki
100507,上毛高原,Jomo-Kogen
100508,越後湯沢,Echigouuzawa
100509,浦佐,Urasa
100510,長岡,Nagaoka
100511,燕三条,Tsubamesanjo
100512,新潟,Niigata
100601,越後湯沢,Echigouuzawa
100602,ガーラ湯沢,Gala Yuzawa
100701,東京,Tokyo
100702,上野,Ueno
100703,大宮,Omiya
100704,小山,Oyama
100705,宇都宮,Utsunomiya
100706,那須塩原,Nasushiobara
100707,新白河,Shinshirakawa
100708,郡山,Koriyama
100709,福島,Fukushima
100710,米沢,Yonezawa
100711,高畠,Takahata
100712,赤湯,Akayu
100713,かみのやま温泉,Kaminoyamaonsen
100714,山形,Yamagata
100715,天童,Tendo
100716,さくらんぼ東根,Sakurambohigashine
100717,村山,Murayama
100718,大石田,Oishida
100719,新庄,Shinjo
100801,東京,Tokyo
100802,上野,Ueno
100803,大宮,Omiya
100804,小山,Oyama
100805,宇都宮,Utsunomiya
100806,那須塩原,Nasushiobara
100807,新白河,Shinshirakawa
100808,郡山,Koriyama
100809,福島,Fukushima
100810,白石蔵王,Shiroishi-Zao
100811,仙台,Sendai
100812,古川,Furukawa
100813,くりこま高原,Kurikoma-Kogen
100814,一ノ関,Ichinoseki
100815,水沢江刺,Mizusawa Esashi
100816,北上,Kitakami
100817,新花巻,Shinhanamaki
100818,盛岡,Morioka
100819,雫石,Shizukuishi
100820,田沢湖,Tazawako
100821,角館,Kakunodate
100822,大曲,Omagari
100823,秋田,Akita
100901,東京,Tokyo
100902,上野,Ueno
100903,大宮,Omiya
100904,熊谷,Kumagaya
100905,本庄早稲田,Honjowaseda
100906,高崎,Takasaki
100907,安中榛名,Annakaharuna
100908,軽井沢,Karuizawa
100909,佐久平,Sakudaira
100910,上田,Ueda
100911,長野,Nagano
100912,飯山,Iiyama
100913,上越妙高,Jouetsumyoukou
100914,糸魚川,Itoigawa
100915,黒部宇奈月温泉,Kurobe-Unazukionsen
100916,富山,Toyama
100917,新高岡,Shin-Takaoka
100918,金沢,Kanazawa
100919,小松,Komatsu
100920,加賀温泉,Kagaonsen
100921,芦原温泉,Awaraonsen
100922,福井,Fukui
100923,越前たけふ,Echizen-Takefu
100924,敦賀,Tsuruga
